Date,Id,common shares outstanding
2017,207,9351
2018,207,
2019,207,
2020,207,
2008,208,8395
2009,208,25185
2010,208,25185
2011,208,25185
2012,208,25185
2013,208,25185
2014,208,25774
2015,208,25585
2016,208,25585
2017,208,25585
2018,208,25585
2019,208,25585
2020,208,25585
2008,209,
2009,209,
2010,209,10
2011,209,538
2012,209,5150
2013,209,13742
2014,209,14290
2015,209,15465
2016,209,15410
2017,209,15450
2018,209,15456
2019,209,15429
2020,209,15407
2008,210,
2009,210,
2010,210,
2011,210,
2012,210,
2013,210,
2014,210,613
2015,210,2086
2016,210,2086
2017,210,2498
2018,210,2498
2019,210,2498
2020,210,2498
2008,211,
2009,211,2115
2010,211,2115
2011,211,2115
2012,211,2452
2013,211,2830
2014,211,3309
2015,211,3216
2016,211,5130
2017,211,7345
2018,211,10498
2019,211,12561
2020,211,12778
2008,212,
2009,212,
2010,212,281
2011,212,281
2012,212,281
2013,212,281
2014,212,22281
2015,212,25439
2016,212,27688
2017,212,35656
2018,212,35859
2019,212,40102
2020,212,50777
2008,213,
2009,213,
2010,213,2876
2011,213,2876
2012,213,2876
2013,213,3221
2014,213,3216
2015,213,3210
2016,213,3197
2017,213,
2018,213,
2019,213,
2020,213,
2008,214,
2009,214,
2010,214,
2011,214,
2012,214,
2013,214,10400
2014,214,10400
2015,214,11192
2016,214,11273
2017,214,14117
2018,214,14858
2019,214,14897
2020,214,14832
2008,215,
2009,215,
2010,215,
2011,215,2625
2012,215,2625
2013,215,2625
2014,215,3035
2015,215,3035
2016,215,3085
2017,215,
2018,215,
2019,215,
2020,215,
2008,216,
2009,216,
2010,216,
2011,216,
2012,216,
2013,216,
2014,216,8320
2015,216,8320
2016,216,11631
2017,216,11631
2018,216,14765
2019,216,19676
2020,216,19676
2008,217,
2009,217,
2010,217,
2011,217,
2012,217,
2013,217,15550
2014,217,
2015,217,18126
2016,217,18126
2017,217,18121
2018,217,17943
2019,217,18035
2020,217,19520
2008,218,50693
2009,218,50609
2010,218,50609
2011,218,50526
2012,218,50948
2013,218,50860
2014,218,50860
2015,218,71273
2016,218,70979
2017,218,70979
2018,218,70979
2019,218,70979
2020,218,71644
2008,219,1155
2009,219,1146
2010,219,1141
2011,219,1137
2012,219,1132
2013,219,1132
2014,219,1132
2015,219,1132
2016,219,1123
2017,219,1123
2018,219,1108
2019,219,1108
2020,219,1061
2008,220,31532
2009,220,32700
2010,220,32700
2011,220,32700
2012,220,32700
2013,220,32700
2014,220,32700
2015,220,32700
2016,220,32700
2017,220,32700
2018,220,32700
2019,220,32700
2020,220,
2008,221,15884
2009,221,15975
2010,221,16338
2011,221,16291
2012,221,27011
2013,221,26814
2014,221,28116
2015,221,30419
2016,221,31461
2017,221,31799
2018,221,31430
2019,221,30935
2020,221,30259
2008,222,
2009,222,
2010,222,
2011,222,
2012,222,
2013,222,
2014,222,11385
2015,222,11385
2016,222,11385
2017,222,11385
2018,222,12385
2019,222,12385
2020,222,12385
2008,223,
2009,223,
2010,223,
2011,223,
2012,223,
2013,223,
2014,223,3620
2015,223,11677
2016,223,10802
2017,223,11522
2018,223,
2019,223,
2020,223,
2008,224,
2009,224,
2010,224,
2011,224,
2012,224,
2013,224,
2014,224,
2015,224,
2016,224,
2017,224,
2018,224,
2019,224,
2020,224,
2008,225,
2009,225,
2010,225,102008
2011,225,102008
2012,225,13158
2013,225,11411
2014,225,17321
2015,225,17966
2016,225,17966
2017,225,19151
2018,225,19151
2019,225,33993
2020,225,33993
2008,226,92263
2009,226,88158
2010,226,88065
2011,226,88065
2012,226,88065
2013,226,88065
2014,226,88065
2015,226,88188
2016,226,88188
2017,226,88188
2018,226,88188
2019,226,88188
2020,226,88188
2008,227,
2009,227,
2010,227,
2011,227,19203
2012,227,19203
2013,227,50000
2014,227,195000
2015,227,195000
2016,227,195000
2017,227,195000
2018,227,191402
2019,227,191855
2020,227,192282
2008,228,17788
2009,228,17788
2010,228,17788
2011,228,17788
2012,228,17788
2013,228,17788
2014,228,17788
2015,228,105938
2016,228,110188
2017,228,110273
2018,228,110273
2019,228,110273
2020,228,110273
2008,229,
2009,229,
2010,229,
2011,229,101
2012,229,101
2013,229,101
2014,229,101
2015,229,15392
2016,229,15392
2017,229,15138
2018,229,16894
2019,229,
2020,229,
2008,230,
2009,230,
2010,230,
2011,230,
2012,230,10637
2013,230,10637
2014,230,10637
2015,230,13712
2016,230,13712
2017,230,13712
2018,230,13301
2019,230,13209
2020,230,13026
2008,231,4711
2009,231,4709
2010,231,4672
2011,231,7821
2012,231,7398
2013,231,7530
2014,231,7202
2015,231,7067
2016,231,6936
2017,231,7018
2018,231,7052
2019,231,7052
2020,231,7052
2008,232,51054
2009,232,51054
2010,232,51054
2011,232,51054
2012,232,51054
2013,232,51223
2014,232,51223
2015,232,51223
2016,232,51757
2017,232,51757
2018,232,51254
2019,232,49784
2020,232,49784
2008,233,11192
2009,233,11192
2010,233,11192
2011,233,11132
2012,233,28200
2013,233,28200
2014,233,28200
2015,233,28200
2016,233,27849
2017,233,26898
2018,233,28262
2019,233,28262
2020,233,
2008,234,35096
2009,234,35096
2010,234,35096
2011,234,35096
2012,234,35096
2013,234,34679
2014,234,34197
2015,234,34197
2016,234,34197
2017,234,34197
2018,234,34629
2019,234,35076
2020,234,35225
2008,235,42503
2009,235,42503
2010,235,43597
2011,235,43597
2012,235,43597
2013,235,43597
2014,235,43597
2015,235,435118
2016,235,435118
2017,235,435118
2018,235,435118
2019,235,435118
2020,235,
2008,236,34000
2009,236,34000
2010,236,34000
2011,236,34000
2012,236,34000
2013,236,34000
2014,236,34000
2015,236,34000
2016,236,34000
2017,236,34000
2018,236,40800
2019,236,40800
2020,236,40800
2008,237,520278
2009,237,520278
2010,237,520278
2011,237,520278
2012,237,1094270
2013,237,1094270
2014,237,1094270
2015,237,1094270
2016,237,1094270
2017,237,1094270
2018,237,1094270
2019,237,1094270
2020,237,1330252
2008,238,231390
2009,238,231390
2010,238,231390
2011,238,231390
2012,238,231390
2013,238,231390
2014,238,137709
2015,238,413127
2016,238,413127
2017,238,413127
2018,238,628882
2019,238,628882
2020,238,628882
2008,239,434903
2009,239,434903
2010,239,434903
2011,239,434903
2012,239,434903
2013,239,434903
2014,239,434903
2015,239,434903
2016,239,434903
2017,239,434903
2018,239,434903
2019,239,434903
2020,239,434903
2008,240,67739
2009,240,67739
2010,240,67739
2011,240,67739
2012,240,67739
2013,240,67739
2014,240,67739
2015,240,67739
2016,240,67739
2017,240,67739
2018,240,67739
2019,240,67739
2020,240,67739
2008,241,21267
2009,241,20979
2010,241,20699
2011,241,20518
2012,241,20449
2013,241,20449
2014,241,20449
2015,241,47597
2016,241,47597
2017,241,47597
2018,241,47597
2019,241,47597
2020,241,47597
2008,242,254400
2009,242,254275
2010,242,254275
2011,242,253395
2012,242,253395
2013,242,253395
2014,242,253529
2015,242,254035
2016,242,254035
2017,242,254218
2018,242,254218
2019,242,254218
2020,242,251218
2008,243,
2009,243,
2010,243,
2011,243,
2012,243,
2013,243,
2014,243,
2015,243,
2016,243,
2017,243,
2018,243,
2019,243,
2020,243,
2008,244,116825
2009,244,116825
2010,244,116825
2011,244,116825
2012,244,116825
2013,244,116825
2014,244,116825
2015,244,188357
2016,244,188357
2017,244,188357
2018,244,
2019,244,
2020,244,
2008,245,
2009,245,
2010,245,
2011,245,65506
2012,245,65506
2013,245,70421
2014,245,70421
2015,245,80421
2016,245,80396
2017,245,80351
2018,245,80316
2019,245,80252
2020,245,80252
2008,246,1306110
2009,246,1306110
2010,246,1306110
2011,246,1306110
2012,246,1306110
2013,246,1306110
2014,246,1306110
2015,246,1306110
2016,246,1306110
2017,246,1306110
2018,246,1306110
2019,246,1300852
2020,246,1300852
2008,247,
2009,247,
2010,247,
2011,247,
2012,247,
2013,247,
2014,247,
2015,247,
2016,247,
2017,247,
2018,247,
2019,247,
2020,247,
2008,248,
2009,248,
2010,248,
2011,248,
2012,248,
2013,248,
2014,248,
2015,248,
2016,248,
2017,248,
2018,248,
2019,248,
2020,248,
2008,249,293418
2009,249,289021
2010,249,294013
2011,249,280697
2012,249,274606
2013,249,273975
2014,249,271626
2015,249,263923
2016,249,261207
2017,249,255670
2018,249,253754
2019,249,259976
2020,249,259690
2008,250,
2009,250,
2010,250,
2011,250,
2012,250,
2013,250,
2014,250,
2015,250,
2016,250,
2017,250,36644
2018,250,45452
2019,250,45452
2020,250,45940
2008,251,
2009,251,
2010,251,
2011,251,
2012,251,
2013,251,
2014,251,
2015,251,
2016,251,
2017,251,
2018,251,
2019,251,
2020,251,
2008,252,
2009,252,
2010,252,
2011,252,
2012,252,
2013,252,
2014,252,
2015,252,
2016,252,
2017,252,
2018,252,
2019,252,
2020,252,
2008,253,
2009,253,
2010,253,
2011,253,
2012,253,
2013,253,15788
2014,253,15788
2015,253,15788
2016,253,15788
2017,253,15752
2018,253,15880
2019,253,15857
2020,253,15806
2008,254,38207
2009,254,37960
2010,254,37755
2011,254,37299
2012,254,37299
2013,254,37168
2014,254,38598
2015,254,39065
2016,254,37659
2017,254,37811
2018,254,37711
2019,254,37540
2020,254,37690
2008,255,4983
2009,255,4983
2010,255,4983
2011,255,4983
2012,255,4983
2013,255,13789
2014,255,18916
2015,255,18916
2016,255,26124
2017,255,30168
2018,255,34152
2019,255,44621
2020,255,46021
2008,256,
2009,256,
2010,256,
2011,256,
2012,256,
2013,256,
2014,256,
2015,256,
2016,256,
2017,256,
2018,256,
2019,256,
2020,256,
2008,257,
2009,257,
2010,257,
2011,257,
2012,257,
2013,257,200000
2014,257,200000
2015,257,200000
2016,257,200000
2017,257,201005
2018,257,201005
2019,257,201005
2020,257,201328
2008,258,
2009,258,
2010,258,
2011,258,
2012,258,
2013,258,
2014,258,
2015,258,
2016,258,20474
2017,258,25606
2018,258,25873
2019,258,25210
2020,258,25032
2008,259,
2009,259,
2010,259,
2011,259,
2012,259,
2013,259,
2014,259,
2015,259,
2016,259,
2017,259,
2018,259,
2019,259,
2020,259,
2008,260,
2009,260,
2010,260,
2011,260,
2012,260,
2013,260,
2014,260,
2015,260,
2016,260,
2017,260,
2018,260,
2019,260,
2020,260,
2008,261,
2009,261,
2010,261,
2011,261,
2012,261,
2013,261,
2014,261,
2015,261,
2016,261,
2017,261,
2018,261,
2019,261,
2020,261,
2008,262,
2009,262,
2010,262,
2011,262,
2012,262,
2013,262,941744
2014,262,941744
2015,262,941744
2016,262,541744
2017,262,541744
2018,262,540544
2019,262,540544
2020,262,540544
2008,263,10
2009,263,19
2010,263,19
2011,263,19
2012,263,161
2013,263,161
2014,263,64268
2015,263,64268
2016,263,114768
2017,263,114768
2018,263,114768
2019,263,
2020,263,
2008,264,729711
2009,264,731016
2010,264,732495
2011,264,733434
2012,264,733953
2013,264,735617
2014,264,737052
2015,264,738402
2016,264,735692
2017,264,733964
2018,264,732388
2019,264,733735
2020,264,734990
2008,265,
2009,265,
2010,265,
2011,265,
2012,265,89242
2013,265,
2014,265,89242
2015,265,89242
2016,265,89149
2017,265,87855
2018,265,88824
2019,265,89201
2020,265,128653
2008,266,
2009,266,
2010,266,
2011,266,
2012,266,
2013,266,
2014,266,
2015,266,27000
2016,266,31040
2017,266,32673
2018,266,32673
2019,266,32673
2020,266,42673
2008,267,
2009,267,
2010,267,
2011,267,
2012,267,
2013,267,
2014,267,
2015,267,
2016,267,
2017,267,
2018,267,
2019,267,
2020,267,
2008,268,
2009,268,
2010,268,
2011,268,
2012,268,
2013,268,
2014,268,
2015,268,
2016,268,
2017,268,
2018,268,
2019,268,
2020,268,
2008,269,
2009,269,
2010,269,
2011,269,
2012,269,
2013,269,
2014,269,
2015,269,
2016,269,809136
2017,269,809136
2018,269,809136
2019,269,809136
2020,269,809136
2008,270,
2009,270,
2010,270,
2011,270,
2012,270,
2013,270,
2014,270,
2015,270,
2016,270,13
2017,270,14
2018,270,14
2019,270,55
2020,270,50
2008,271,
2009,271,
2010,271,
2011,271,
2012,271,
2013,271,
2014,271,5678
2015,271,5678
2016,271,5678
2017,271,6583
2018,271,6583
2019,271,6583
2020,271,6796
2008,272,
2009,272,
2010,272,
2011,272,
2012,272,
2013,272,
2014,272,1700
2015,272,1700
2016,272,
2017,272,1910
2018,272,1910
2019,272,2006
2020,272,2006
2008,273,
2009,273,
2010,273,
2011,273,
2012,273,
2013,273,
2014,273,
2015,273,
2016,273,1420
2017,273,1420
2018,273,1420
2019,273,1489
2020,273,4159
2008,274,
2009,274,
2010,274,
2011,274,
2012,274,
2013,274,
2014,274,5
2015,274,57
2016,274,36007
2017,274,36007
2018,274,36007
2019,274,36107
2020,274,36107
2008,275,
2009,275,
2010,275,
2011,275,
2012,275,
2013,275,19249
2014,275,19249
2015,275,19249
2016,275,19249
2017,275,21053
2018,275,21849
2019,275,
2020,275,
2008,276,
2009,276,
2010,276,
2011,276,
2012,276,
2013,276,
2014,276,
2015,276,
2016,276,
2017,276,
2018,276,
2019,276,
2020,276,
2008,277,
2009,277,
2010,277,
2011,277,
2012,277,
2013,277,2389
2014,277,2389
2015,277,3000
2016,277,12000
2017,277,12509
2018,277,12509
2019,277,12509
2020,277,
2008,278,
2009,278,
2010,278,
2011,278,
2012,278,
2013,278,
2014,278,1
2015,278,1
2016,278,1
2017,278,8375
2018,278,8375
2019,278,8375
2020,278,
2008,279,
2009,279,
2010,279,
2011,279,
2012,279,
2013,279,
2014,279,
2015,279,7193
2016,279,7193
2017,279,7193
2018,279,7193
2019,279,7193
2020,279,7191
2008,280,
2009,280,
2010,280,
2011,280,
2012,280,
2013,280,
2014,280,
2015,280,
2016,280,
2017,280,
2018,280,
2019,280,
2020,280,
2008,281,
2009,281,
2010,281,
2011,281,
2012,281,
2013,281,
2014,281,
2015,281,
2016,281,
2017,281,
2018,281,
2019,281,
2020,281,
2008,282,
2009,282,
2010,282,
2011,282,
2012,282,
2013,282,
2014,282,
2015,282,
2016,282,
2017,282,
2018,282,
2019,282,
2020,282,
2008,283,
2009,283,
2010,283,
2011,283,
2012,283,
2013,283,
2014,283,
2015,283,
2016,283,
2017,283,
2018,283,
2019,283,
2020,283,
2008,284,
2009,284,
2010,284,
2011,284,
2012,284,
2013,284,
2014,284,
2015,284,
2016,284,
2017,284,
2018,284,
2019,284,
2020,284,
2008,285,
2009,285,
2010,285,
2011,285,
2012,285,
2013,285,
2014,285,
2015,285,
2016,285,
2017,285,
2018,285,
2019,285,
2020,285,
2008,286,
2009,286,
2010,286,
2011,286,
2012,286,
2013,286,
2014,286,
2015,286,
2016,286,
2017,286,
2018,286,
2019,286,
2020,286,
2008,287,
2009,287,
2010,287,
2011,287,
2012,287,
2013,287,
2014,287,
2015,287,
2016,287,
2017,287,
2018,287,
2019,287,
2020,287,
2008,288,
2009,288,
2010,288,
2011,288,
2012,288,
2013,288,
2014,288,
2015,288,
2016,288,1900
2017,288,3096
2018,288,3096
2019,288,3096
2020,288,3096
2008,289,
2009,289,
2010,289,
2011,289,
2012,289,
2013,289,
2014,289,
2015,289,
2016,289,
2017,289,
2018,289,
2019,289,
2020,289,
2008,290,
2009,290,
2010,290,
2011,290,
2012,290,
2013,290,
2014,290,
2015,290,15372
2016,290,15372
2017,290,15372
2018,290,16065
2019,290,16063
2020,290,16223
2008,291,
2009,291,
2010,291,
2011,291,
2012,291,
2013,291,
2014,291,
2015,291,
2016,291,
2017,291,
2018,291,
2019,291,
2020,291,
2008,292,
2009,292,
2010,292,
2011,292,
2012,292,
2013,292,
2014,292,4582
2015,292,4582
2016,292,4582
2017,292,5842
2018,292,5842
2019,292,5758
2020,292,5826
2008,293,
2009,293,
2010,293,
2011,293,
2012,293,23164
2013,293,23164
2014,293,23164
2015,293,23164
2016,293,23164
2017,293,26359
2018,293,26359
2019,293,26145
2020,293,25688
2008,294,
2009,294,
2010,294,
2011,294,
2012,294,170107
2013,294,170107
2014,294,170107
2015,294,170107
2016,294,170107
2017,294,170107
2018,294,170066
2019,294,170223
2020,294,169975
2008,295,
2009,295,
2010,295,
2011,295,
2012,295,
2013,295,
2014,295,
2015,295,
2016,295,
2017,295,
2018,295,
2019,295,
2020,295,
2008,296,
2009,296,
2010,296,
2011,296,
2012,296,
2013,296,
2014,296,
2015,296,7258
2016,296,7258
2017,296,7258
2018,296,7258
2019,296,7258
2020,296,7260
2008,297,
2009,297,
2010,297,
2011,297,
2012,297,
2013,297,
2014,297,
2015,297,1750
2016,297,1750
2017,297,1750
2018,297,1750
2019,297,2625
2020,297,2625
2008,298,
2009,298,
2010,298,
2011,298,
2012,298,
2013,298,
2014,298,
2015,298,8150
2016,298,8095
2017,298,17039
2018,298,16930
2019,298,16927
2020,298,17530
2008,299,
2009,299,
2010,299,
2011,299,
2012,299,
2013,299,
2014,299,
2015,299,9437
2016,299,11247
2017,299,14312
2018,299,14329
2019,299,18978
2020,299,18978
2008,300,
2009,300,
2010,300,
2011,300,
2012,300,
2013,300,
2014,300,
2015,300,
2016,300,
2017,300,
2018,300,
2019,300,
2020,300,
2008,301,
2009,301,
2010,301,
2011,301,
2012,301,
2013,301,
2014,301,
2015,301,
2016,301,
2017,301,
2018,301,
2019,301,
2020,301,
2008,302,
2009,302,
2010,302,
2011,302,
2012,302,
2013,302,
2014,302,
2015,302,2500
2016,302,2500
2017,302,2500
2018,302,2500
2019,302,2539
2020,302,2539
2008,303,
2009,303,
2010,303,
2011,303,
2012,303,
2013,303,
2014,303,
2015,303,
2016,303,
2017,303,
2018,303,
2019,303,
2020,303,
2008,304,
2009,304,
2010,304,
2011,304,
2012,304,
2013,304,
2014,304,
2015,304,
2016,304,
2017,304,
2018,304,
2019,304,
2020,304,
2008,305,
2009,305,
2010,305,
2011,305,
2012,305,
2013,305,
2014,305,
2015,305,
2016,305,
2017,305,
2018,305,
2019,305,
2020,305,
2008,306,
2009,306,
2010,306,
2011,306,
2012,306,
2013,306,
2014,306,
2015,306,
2016,306,
2017,306,
2018,306,
2019,306,
2020,306,
2008,307,
2009,307,
2010,307,
2011,307,
2012,307,
2013,307,
2014,307,
2015,307,
2016,307,
2017,307,
2018,307,
2019,307,
2020,307,
2008,308,
2009,308,
2010,308,
2011,308,
2012,308,
2013,308,
2014,308,
2015,308,
2016,308,12103
2017,308,12103
2018,308,12103
2019,308,11826
2020,308,11720
2008,309,
2009,309,
2010,309,
2011,309,
2012,309,
2013,309,
2014,309,
2015,309,
2016,309,
2017,309,
2018,309,
2019,309,
2020,309,
2008,310,
2009,310,
2010,310,
2011,310,
2012,310,
2013,310,
2014,310,
2015,310,
2016,310,
2017,310,
2018,310,
2019,310,
2020,310,
2008,311,
2009,311,
2010,311,
2011,311,
2012,311,
2013,311,
2014,311,
2015,311,
2016,311,
2017,311,
2018,311,
2019,311,
2020,311,
2008,312,
2009,312,
2010,312,
2011,312,
2012,312,
2013,312,
2014,312,
2015,312,
2016,312,
2017,312,
2018,312,
2019,312,
2020,312,
2008,313,
2009,313,
2010,313,
2011,313,
2012,313,
2013,313,
2014,313,
2015,313,
2016,313,
2017,313,
2018,313,
2019,313,
2020,313,
2008,314,
2009,314,
2010,314,
2011,314,
2012,314,
2013,314,
2014,314,
2015,314,
2016,314,
2017,314,
2018,314,
2019,314,
2020,314,
2008,315,
2009,315,
2010,315,
2011,315,
2012,315,
2013,315,
2014,315,
2015,315,
2016,315,
2017,315,
2018,315,
2019,315,
2020,315,
2008,316,
2009,316,
2010,316,
2011,316,
2012,316,
2013,316,
2014,316,
2015,316,
2016,316,
2017,316,
2018,316,
2019,316,
2020,316,
2008,317,
2009,317,
2010,317,
2011,317,
2012,317,
2013,317,
2014,317,
2015,317,
2016,317,
2017,317,
2018,317,
2019,317,
2020,317,
2008,318,
2009,318,
2010,318,
2011,318,
2012,318,
2013,318,
2014,318,
2015,318,
2016,318,
2017,318,
2018,318,
2019,318,
2020,318,
2008,319,
2009,319,
2010,319,
2011,319,
2012,319,
2013,319,
2014,319,
2015,319,
2016,319,
2017,319,
2018,319,
2019,319,
2020,319,
2008,320,
2009,320,
2010,320,
2011,320,
2012,320,
2013,320,
2014,320,
2015,320,
2016,320,3155
2017,320,3155
2018,320,3155
2019,320,3464
2020,320,3453
2008,321,
2009,321,
2010,321,
2011,321,
2012,321,
2013,321,
2014,321,
2015,321,
2016,321,
2017,321,
2018,321,
2019,321,
2020,321,
2008,322,
2009,322,
2010,322,
2011,322,
2012,322,
2013,322,
2014,322,
2015,322,
2016,322,
2017,322,
2018,322,
2019,322,
2020,322,
2008,323,
2009,323,
2010,323,
2011,323,
2012,323,
2013,323,
2014,323,
2015,323,
2016,323,
2017,323,
2018,323,
2019,323,
2020,323,
2008,324,
2009,324,
2010,324,
2011,324,
2012,324,
2013,324,
2014,324,
2015,324,
2016,324,
2017,324,
2018,324,
2019,324,
2020,324,
2008,325,
2009,325,
2010,325,
2011,325,
2012,325,
2013,325,
2014,325,
2015,325,
2016,325,
2017,325,
2018,325,
2019,325,
2020,325,
